OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10248,VINET,5,"1996-07-04 00:00:00","1996-08-01 00:00:00","1996-07-16 00:00:00",3,32.3800,"Vins et alcools Chevalier","59 rue de l'Abbaye",Reims,NULL,51100,France
10249,TOMSP,6,"1996-07-05 00:00:00","1996-08-16 00:00:00","1996-07-10 00:00:00",1,11.6100,"Toms Spezialitäten","Luisenstr. 48",Münster,NULL,44087,Germany
10250,HANAR,4,"1996-07-08 00:00:00","1996-08-05 00:00:00","1996-07-12 00:00:00",2,65.8300,"Hanari Carnes","Rua do Paço, 67","Rio de Janeiro",RJ,05454-876,Brazil
10251,VICTE,3,"1996-07-08 00:00:00","1996-08-05 00:00:00","1996-07-15 00:00:00",1,41.3400,"Victuailles en stock","2, rue du Commerce",Lyon,NULL,69004,France
10252,SUPRD,4,"1996-07-09 00:00:00","1996-08-06 00:00:00","1996-07-11 00:00:00",2,51.3000,"Suprêmes délices","Boulevard Tirou, 255",Charleroi,NULL,B-6000,Belgium
10253,HANAR,3,"1996-07-10 00:00:00","1996-07-24 00:00:00","1996-07-16 00:00:00",2,58.1700,"Hanari Carnes","Rua do Paço, 67","Rio de Janeiro",RJ,05454-876,Brazil
10254,CHOPS,5,"1996-07-11 00:00:00","1996-08-08 00:00:00","1996-07-23 00:00:00",2,22.9800,"Chop-suey Chinese","Hauptstr. 31",Bern,NULL,3012,Switzerland
10255,RICSU,9,"1996-07-12 00:00:00","1996-08-09 00:00:00","1996-07-15 00:00:00",3,148.3300,"Richter Supermarkt","Starenweg 5",Genève,NULL,1204,Switzerland
10256,WELLI,3,"1996-07-15 00:00:00","1996-08-12 00:00:00","1996-07-17 00:00:00",2,13.9700,"Wellington Importadora","Rua do Mercado, 12",Resende,SP,08737-363,Brazil
10257,HILAA,4,"1996-07-16 00:00:00","1996-08-13 00:00:00","1996-07-22 00:00:00",3,81.9100,HILARION-Abastos,"Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal",Táchira,5022,Venezuela
